 ,X,Y
1,0.759,0.784
2,0.701,0.781
3,0.661,0.831
4,0.720,0.810
5,0.742,0.809
6,0.612,0.750
7,0.650,0.805
8,0.541,0.712
9,0.679,0.704
10,0.503,0.724
11,0.812,0.680
12,0.627,0.677
13,0.744,0.526
14,0.650,0.665
15,0.730,0.649
16,0.659,0.393
17,0.611,0.434
18,0.596,0.640
19,0.565,0.629
20,0.671,0.625
21,0.688,0.620
22,0.653,0.613
23,0.716,0.821
24,0.478,0.604
25,0.707,0.601
26,0.622,0.615
27,0.667,0.580
28,0.703,0.811
29,0.817,0.566
30,0.569,0.458
31,0.671,0.554
32,0.722,0.542
33,0.456,0.541
34,0.647,0.640
35,0.526,0.523
36,0.625,0.513
37,0.587,0.613
38,0.773,0.507
39,0.787,0.720
40,0.631,0.501
41,0.601,0.485
42,0.499,0.581
43,0.349,0.478
44,0.411,0.475
45,0.377,0.468
46,0.596,0.461
47,0.379,0.453
48,0.762,0.447
49,0.393,0.440
50,0.487,0.427
51,0.594,0.421
52,0.684,0.416
53,0.779,0.413
54,0.791,0.393
55,0.740,0.392
56,0.804,0.369
57,0.742,0.355
58,0.697,0.340
59,0.734,0.335
60,0.794,0.056
61,0.784,0.040
62,0.794,0.749
63,0.682,0.741
64,0.692,0.736
65,0.715,0.694
66,0.568,0.724
67,0.635,0.709
68,0.563,0.667
69,0.682,0.657
70,0.697,0.581
71,0.513,0.540
72,0.649,0.450
73,0.713,0.401
74,0.686,0.397
75,0.304,0.362
76,0.309,0.354
77,0.579,0.474
78,0.536,0.478
79,0.623,0.476
